Price,Bedrooms,Bathrooms,type,address,deposit,available_date,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered
115,5,2,house,"Flat 10, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,5,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
115,5,2,house,"Flat 11, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,5,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
110,8,2,house,"Flat 20, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,8,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
105,7,2,house,"Flat 4, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,7,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
103,7,2,house,"Flat 9, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,7,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
122,4,1,house,"Flat 12, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
102,7,2,house,"Flat 14, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,7,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100,7,2,house,"Flat 19, Shoe &amp; Boot Factory, Highfields, Leicester, LE27AE",,16th July 2024,7,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
110,8,2,house,"Flat X, The Hosiery Factory, Highfields, Leicester, LE15TH",,14th July 2024,8,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
118,6,2,house,"Flat T, The Hosiery Factory, Highfields, Leicester, LE15TH",,14th July 2024,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
118,6,2,house,"Flat F, The Hosiery Factory, Highfields, Leicester, LE15TH",,14th July 2024,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
117,6,2,house,"Flat V, The Hosiery Factory, Highfields, Leicester, LE15TH",,14th July 2024,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
118,6,2,house,"Flat J, The Hosiery Factory, Highfields, Leicester, LE15TH",,14th July 2024,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
175,2,1,flat,"The Crescent, City centre, Plymouth, PL13AB",200,1st September 2024,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No
175,2,1,flat,"Ermington Terrace, Mutley, Plymouth, PL46QG",200,1st September 2024,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No
145,6,6,house,"Ford Park Road, Mutley, Plymouth, PL46NU",200,1st September 2024,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
165,2,1,house,"Mount Street, Greenbank, Plymouth, PL48NZ",200,1st September 2024,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No
154,6,3,house,"Iffley Road, Iffley, Oxford, OX41EF",769,10th September 2024,6,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
154,6,4,house,"Cowley Road, Cowley, Oxford, OX42BY",769,11th August 2024,6,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
85,5,3,house,"Queens road, Clarendon park, Leicester, LE23FT",,1st July 2024,5,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
127,9,6,house,"Montgomerie Road, Southsea, Portsmouth, PO51ED",100,1st September 2024,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No
125,8,3,house,"Baileys Road, Southsea, Portsmouth, PO51EA",100,1st September 2024,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No
160,7,7,house,"St Pauls Road, Southsea, Portsmouth, PO54AB",100,1st September 2024,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No
