,Price,Bedrooms,Bathrooms,type,deposit,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered,month,year,city,postcode,latitude,longitude
3578,103.0,6.0,2.0,house,150.0,6.0,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,,, Canterbury,CT2 7BL,53.2308499,-0.52199
3579,150.0,1.0,1.0,studio,750.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,October,2024, Leicester,LE1 6AX,53.22204,-0.53916
3580,150.0,1.0,1.0,studio,750.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Leicester,LE1 6AX,53.22096,-0.5361582
3581,149.0,6.0,2.0,flat,350.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,September,2024, Newcastle,NE1 6PD,53.23511,-0.5524
3582,90.0,2.0,2.0,house,100.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Stoke,ST4 2EH,53.23049,-0.5275
3583,90.0,4.0,1.0,house,390.0,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Birmingham,B29 6BS,53.23168,-0.55239
3584,125.0,3.0,1.0,flat,542.0,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Birmingham,B15 2SW,53.23208,-0.53482
3585,115.0,4.0,2.0,house,200.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Derby,DE22 3HB,53.23168,-0.55239
3586,106.0,4.0,1.0,house,200.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Derby,DE22 3GS,53.23238,-0.55445
3587,79.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN2 5PG,53.23951,-0.53845
3588,80.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Lincoln,LN5 7NJ,53.23217,-0.54819
3589,79.0,1.0,1.0,house,,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN5 7UE,53.2373,-0.54826
3590,79.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 1NA,53.22404,-0.54152
3591,79.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN2 5JJ,53.23313,-0.55071
3592,79.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,April,2024, Lincoln,LN1 1ST,53.232626492307695,-0.5328058
3593,79.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN2 1NR,53.23431,-0.5541199
3594,93.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 1ST,53.23378,-0.55559
3595,95.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 1SP,53.2307599,-0.55166
3596,100.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 3DN,53.23344,-0.55164
3597,107.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 1QH,53.231,-0.55132
3598,105.0,1.0,1.0,house,150.0,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Lincoln,LN1 1HP,53.23109,-0.54637
